date,IC4WSA
1990-06-23,362000.0
1990-06-30,361000.0
1990-07-07,361750.0
1990-07-14,363750.0
1990-07-21,365750.0
1990-07-28,367000.0
1990-08-04,368750.0
1990-08-11,372250.0
1990-08-18,378000.0
1990-08-25,384250.0
1990-09-01,390000.0
1990-09-08,392250.0
1990-09-15,392750.0
1990-09-22,391500.0
1990-09-29,394500.0
1990-10-06,398000.0
1990-10-13,404750.0
1990-10-20,416250.0
1990-10-27,425250.0
1990-11-03,431750.0
1990-11-10,438250.0
1990-11-17,441250.0
1990-11-24,446750.0
1990-12-01,452000.0
1990-12-08,452250.0
1990-12-15,452250.0
1990-12-22,455250.0
1990-12-29,456000.0
1991-01-05,447500.0
1991-01-12,445000.0
1991-01-19,437750.0
1991-01-26,439750.0
1991-02-02,456750.0
1991-02-09,467500.0
1991-02-16,474750.0
1991-02-23,484000.0
1991-03-02,485250.0
1991-03-09,490000.0
1991-03-16,496000.0
1991-03-23,498500.0
1991-03-30,501250.0
1991-04-06,489500.0
1991-04-13,484250.0
1991-04-20,476500.0
1991-04-27,467250.0
1991-05-04,467000.0
1991-05-11,459250.0
1991-05-18,451750.0
1991-05-25,447000.0
1991-06-01,442250.0
1991-06-08,441000.0
1991-06-15,436250.0
1991-06-22,431250.0
1991-06-29,427750.0
1991-07-06,423000.0
1991-07-13,420750.0
1991-07-20,417000.0
1991-07-27,418250.0
1991-08-03,422250.0
1991-08-10,426500.0
1991-08-17,432750.0
1991-08-24,433250.0
1991-08-31,430000.0
1991-09-07,426750.0
1991-09-14,423000.0
1991-09-21,421500.0
1991-09-28,424500.0
1991-10-05,424500.0
1991-10-12,426250.0
1991-10-19,426250.0
1991-10-26,422750.0
1991-11-02,428500.0
1991-11-09,435500.0
1991-11-16,440500.0
1991-11-23,445750.0
1991-11-30,445000.0
1991-12-07,450500.0
1991-12-14,459500.0
1991-12-21,457500.0
1991-12-28,456750.0
1992-01-04,446000.0
1992-01-11,437250.0
1992-01-18,439000.0
1992-01-25,439000.0
1992-02-01,441000.0
1992-02-08,442250.0
1992-02-15,443000.0
1992-02-22,441750.0
1992-02-29,442750.0
1992-03-07,436750.0
1992-03-14,434500.0
1992-03-21,435500.0
1992-03-28,429500.0
1992-04-04,427250.0
1992-04-11,421250.0
1992-04-18,417250.0
1992-04-25,418250.0
1992-05-02,423000.0
1992-05-09,424000.0
1992-05-16,421500.0
1992-05-23,419000.0
1992-05-30,414000.0
1992-06-06,413750.0
1992-06-13,415250.0
1992-06-20,416500.0
1992-06-27,418750.0
1992-07-04,416500.0
1992-07-11,413500.0
1992-07-18,406750.0
1992-07-25,442750.0
1992-08-01,446750.0
1992-08-08,446250.0
1992-08-15,448500.0
1992-08-22,407000.0
1992-08-29,403250.0
1992-09-05,405750.0
1992-09-12,409500.0
1992-09-19,416750.0
1992-09-26,417000.0
1992-10-03,412500.0
1992-10-10,402000.0
1992-10-17,391500.0
1992-10-24,381000.0
1992-10-31,372750.0
1992-11-07,372750.0
1992-11-14,370750.0
1992-11-21,368250.0
1992-11-28,362250.0
1992-12-05,356250.0
1992-12-12,351750.0
1992-12-19,346000.0
1992-12-26,339000.0
1993-01-02,336750.0
1993-01-09,335500.0
1993-01-16,340000.0
1993-01-23,347000.0
1993-01-30,346750.0
1993-02-06,338000.0
1993-02-13,330250.0
1993-02-20,332750.0
1993-02-27,338250.0
1993-03-06,347000.0
1993-03-13,353250.0
1993-03-20,350000.0
1993-03-27,351000.0
1993-04-03,353750.0
1993-04-10,355500.0
1993-04-17,358750.0
1993-04-24,354750.0
1993-05-01,349250.0
1993-05-08,345750.0
1993-05-15,344250.0
1993-05-22,342250.0
1993-05-29,343750.0
1993-06-05,344750.0
1993-06-12,344250.0
1993-06-19,345000.0
1993-06-26,342750.0
1993-07-03,340500.0
1993-07-10,333250.0
1993-07-17,330750.0
1993-07-24,349500.0
1993-07-31,355000.0
1993-08-07,363000.0
1993-08-14,364000.0
1993-08-21,345750.0
1993-08-28,341000.0
1993-09-04,338000.0
1993-09-11,336500.0
1993-09-18,337500.0
1993-09-25,339000.0
1993-10-02,338750.0
1993-10-09,344250.0
1993-10-16,347500.0
1993-10-23,350250.0
1993-10-30,354000.0
1993-11-06,352750.0
1993-11-13,348250.0
1993-11-20,343750.0
1993-11-27,341000.0
1993-12-04,337750.0
1993-12-11,336000.0
1993-12-18,334750.0
1993-12-25,323000.0
1994-01-01,324000.0
1994-01-08,326250.0
1994-01-15,332250.0
1994-01-22,347500.0
1994-01-29,363750.0
1994-02-05,368250.0
1994-02-12,368000.0
1994-02-19,368250.0
1994-02-26,348500.0
1994-03-05,345250.0
1994-03-12,342000.0
1994-03-19,337000.0
1994-03-26,335750.0
1994-04-02,334250.0
1994-04-09,336250.0
1994-04-16,341750.0
1994-04-23,344000.0
1994-04-30,344500.0
1994-05-07,350000.0
1994-05-14,351500.0
1994-05-21,358000.0
1994-05-28,359000.0
1994-06-04,352500.0
1994-06-11,347000.0
1994-06-18,341750.0
1994-06-25,340000.0
1994-07-02,337250.0
1994-07-09,338000.0
1994-07-16,343750.0
1994-07-23,344750.0
1994-07-30,344250.0
1994-08-06,343500.0
1994-08-13,337500.0
1994-08-20,334000.0
1994-08-27,336250.0
1994-09-03,336500.0
1994-09-10,335500.0
1994-09-17,334250.0
1994-09-24,330250.0
1994-10-01,328000.0
1994-10-08,330500.0
1994-10-15,332750.0
1994-10-22,334000.0
1994-10-29,334250.0
1994-11-05,331000.0
1994-11-12,329500.0
1994-11-19,328500.0
1994-11-26,328000.0
1994-12-03,327000.0
